M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   |   before StaticCheck: eliminateBidirectionals : M=1421.19mb, Malloc-M=512mb, Available-M=92480mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   after  StaticCheck: eliminateBidirectionals : M=1421.19mb, Malloc-M=512mb, Available-M=92480mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   after  StaticCheck: NldfgFlatDesign : M=1421.19mb, Malloc-M=512mb, Available-M=92480mb, T=0s CPU=0.01s W=(2026-06-09 23:11:21)
STATS:: |   before StaticCheck: CombLoopCheck  : M=1421.19mb, Malloc-M=512mb, Available-M=92480mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   before CombLoop : Topo Order M=1421.19mb, Malloc-M=512mb, Available-M=92480mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   after  CombLoop : Topo Order M=1421.19mb, Malloc-M=512mb, Available-M=92480mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   before CombLoop : Compute Segments M=1421.19mb, Malloc-M=512mb, Available-M=92480mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   after  CombLoop : Compute Segments M=1421.19mb, Malloc-M=512mb, Available-M=92480mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   after  StaticCheck: CombLoopCheck  : M=1421.19mb, Malloc-M=512mb, Available-M=92480mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   before StaticCheck: MultiDriverCheck  : M=1421.19mb, Malloc-M=512mb, Available-M=92480mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   after  StaticCheck: MultiDriverCheck  : M=1421.19mb, Malloc-M=512mb, Available-M=92480mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: after  StaticCheck: StaticCheckProcess : M=1421.19mb, Malloc-M=503mb, Available-M=92480mb, T=0s CPU=0.01s W=(2026-06-09 23:11:21)
STATS:: before createWordSplitBaseNetCacheUtilM=1421.19mb, Malloc-M=503mb, Available-M=92480mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: after  createWordSplitBaseNetCacheUtilM=1421.19mb, Malloc-M=503mb, Available-M=92480mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: before populate SSF data: M=1421.19mb, Malloc-M=503mb, Available-M=92480mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: after  populate SSF data: M=1421.19mb, Malloc-M=503mb, Available-M=92480mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: before DumpGateCountStats : M=1421.19mb, Malloc-M=503mb, Available-M=92480mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: after  DumpGateCountStats : M=1421.19mb, Malloc-M=503mb, Available-M=92480mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: before DataModelStats : M=1421.19mb, Malloc-M=503mb, Available-M=92480mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: after  DataModelStats : M=1421.19mb, Malloc-M=503mb, Available-M=92480mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: before ModuleDesignPropagation : M=1421.19mb, Malloc-M=512mb, Available-M=92481mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: after  ModuleDesignPropagation : M=1421.19mb, Malloc-M=512mb, Available-M=92481mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: before XMR_Resolution : Total:1 : M=1431.48mb, Malloc-M=523mb, Available-M=92471mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: after  XMR_Resolution : Success:1 : M=1431.48mb, Malloc-M=523mb, Available-M=92471mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: before sim build substep: M=1431.48mb, Malloc-M=523mb, Available-M=92471mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: after  sim build substep: M=1431.48mb, Malloc-M=523mb, Available-M=92471mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: before sim run substep: M=1431.48mb, Malloc-M=523mb, Available-M=92471mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: after  sim run substep: M=1438.29mb, Malloc-M=530mb, Available-M=92467mb, T=0s CPU=0.01s W=(2026-06-09 23:11:21)
STATS:: before sim_save_reset : M=1438.29mb, Malloc-M=530mb, Available-M=92468mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: after  sim_save_reset : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: before Check: check_fv : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   before Check: BuildFormal : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   before Check: Init : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   after  Check: Init : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   before Check: ResetSetup : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   before Check: EnvInstrumentation : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   after  Check: EnvInstrumentation : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   after  Check: ResetSetup : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   before Check: BotEotInstr : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   after  Check: BotEotInstr : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   before Check: VPSetup : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   after  Check: VPSetup : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   before Check: VPReset : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   after  Check: VPReset : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   before Check: InitApp : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   after  Check: InitApp : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   before Check: FormalModel : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   before DfgBuild: Setup : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   before DfgBuild: ValidateNLDMOperators : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   after  DfgBuild: ValidateNLDMOperators : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   after  DfgBuild: Setup : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   before DfgBuild: ReuseCheck : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   after  DfgBuild: ReuseCheck : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   before DfgBuild: Flatten : M=1447.92mb, Malloc-M=516mb, Available-M=92459mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   after  DfgBuild: Flatten : M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   before DfgBuild: ClockSetup : M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   after  DfgBuild: ClockSetup : M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   before DfgBuild: Modeling : M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   after  DfgBuild: Modeling : M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   before DfgBuild: FlatRemodel : M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   after  DfgBuild: FlatRemodel : M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   before DfgBuild: NldfgBuild : M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   before NldfgBuild : Print statistics M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   after  NldfgBuild : Print statistics M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   before NldfgBuild : Reduce bidirectionals M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   after  NldfgBuild : Reduce bidirectionals M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   before NldfgBuild : Cutpoint Insertion M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   after  NldfgBuild : Cutpoint Insertion M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   before NldfgBuild : Compute net equivalences M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   after  NldfgBuild : Compute net equivalences M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   before NldfgBuild : Eliminate bidirectionals M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   after  NldfgBuild : Eliminate bidirectionals M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   before NldfgBuild : Remove false combo loops M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   after  NldfgBuild : Remove false combo loops M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   before NldfgBuild : Create dfg M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   before NldfgBuild : Create graph function M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   after  NldfgBuild : Create graph function M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   before NldfgBuild : Create scopes M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   after  NldfgBuild : Create scopes M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   before NldfgBuild : Initial setup M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   after  NldfgBuild : Initial setup M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   before NldfgBuild : Create graph M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   after  NldfgBuild : Create graph M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   before NldfgBuild : Create terminal sinks and sources M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   after  NldfgBuild : Create terminal sinks and sources M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   before NldfgBuild : Compute dependencies M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   after  NldfgBuild : Compute dependencies M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   before NldfgBuild : Compute combinational SCCs M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   after  NldfgBuild : Compute combinational SCCs M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   before NldfgBuild : Compute templates M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   after  NldfgBuild : Compute templates M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   before NldfgBuild : Eliminate combinational SCCs M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   after  NldfgBuild : Eliminate combinational SCCs M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   before NldfgBuild : Computing sequential SCCs M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   after  NldfgBuild : Computing sequential SCCs M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   before NldfgBuild : Create simulator clocks, changeAts and Triggers M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   after  NldfgBuild : Create simulator clocks, changeAts and Triggers M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   before NldfgBuild : SymSimulator Analysis and computation M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   after  NldfgBuild : SymSimulator Analysis and computation M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   before NldfgBuild : Collect Aeps M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   |   |   after  NldfgBuild : Collect Aeps M=1447.92mb, Malloc-M=525mb, Available-M=92454mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
