M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   before BuildNetlist : M=1390.1mb, Malloc-M=478mb, Available-M=92600mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   |   before NLDM Build : M=1390.1mb, Malloc-M=478mb, Available-M=92600mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   |   |   before XMR_Resolution : Total:0 : M=1410.55mb, Malloc-M=500mb, Available-M=92579mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   |   |   after  XMR_Resolution : Success:0 : M=1410.55mb, Malloc-M=500mb, Available-M=92579mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   |   after  NLDM Build : M=1410.55mb, Malloc-M=500mb, Available-M=92579mb, T=0s CPU=0.01s W=(2026-06-09 22:54:23)
STATS:: |   |   before Cell properties : M=1410.55mb, Malloc-M=500mb, Available-M=92579mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   |   after  Cell properties : M=1410.55mb, Malloc-M=500mb, Available-M=92579mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   after  BuildNetlist : M=1410.55mb, Malloc-M=500mb, Available-M=92579mb, T=0s CPU=0.01s W=(2026-06-09 22:54:23)
STATS:: after  NLDM Creation : M=1410.55mb, Malloc-M=500mb, Available-M=92579mb, T=0s CPU=0.01s W=(2026-06-09 22:54:23)
STATS:: before PropertyLoad: Formal Property : M=1410.55mb, Malloc-M=500mb, Available-M=92579mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: after  PropertyLoad: Formal Property : M=1410.55mb, Malloc-M=500mb, Available-M=92579mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: before PropertyLoad: Formal Property : M=1410.55mb, Malloc-M=500mb, Available-M=92579mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: after  PropertyLoad: Formal Property : M=1410.55mb, Malloc-M=500mb, Available-M=92579mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: before PropertyLoad: Formal Property : M=1410.55mb, Malloc-M=500mb, Available-M=92579mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: after  PropertyLoad: Formal Property : M=1410.55mb, Malloc-M=500mb, Available-M=92579mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: before StaticCheck: StaticCheckProcess : M=1410.55mb, Malloc-M=500mb, Available-M=92579mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   before StaticCheck: NldfgFlatDesign : M=1410.55mb, Malloc-M=500mb, Available-M=92579mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   |   before StaticCheck: createFlatDesign : M=1410.55mb, Malloc-M=500mb, Available-M=92579mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   |   after  StaticCheck: createFlatDesign : M=1419.57mb, Malloc-M=509mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   |   before StaticCheck: legalize : M=1419.57mb, Malloc-M=509mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   |   after  StaticCheck: legalize : M=1419.57mb, Malloc-M=509mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   |   before StaticCheck: reduceBidirectionals : M=1419.57mb, Malloc-M=509mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   |   after  StaticCheck: reduceBidirectionals : M=1419.57mb, Malloc-M=509mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   |   before StaticCheck: computeNetEquivalences : M=1419.57mb, Malloc-M=509mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   |   after  StaticCheck: computeNetEquivalences : M=1419.57mb, Malloc-M=509mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   |   before StaticCheck: eliminateBidirectionals : M=1419.57mb, Malloc-M=509mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   |   after  StaticCheck: eliminateBidirectionals : M=1419.57mb, Malloc-M=509mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   after  StaticCheck: NldfgFlatDesign : M=1419.57mb, Malloc-M=509mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   before StaticCheck: CombLoopCheck  : M=1419.57mb, Malloc-M=509mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   |   before CombLoop : Topo Order M=1419.57mb, Malloc-M=509mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   |   after  CombLoop : Topo Order M=1419.57mb, Malloc-M=509mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   |   before CombLoop : Compute Segments M=1419.57mb, Malloc-M=509mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   |   after  CombLoop : Compute Segments M=1419.57mb, Malloc-M=509mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   after  StaticCheck: CombLoopCheck  : M=1419.57mb, Malloc-M=509mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   before StaticCheck: MultiDriverCheck  : M=1419.57mb, Malloc-M=509mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: |   after  StaticCheck: MultiDriverCheck  : M=1419.57mb, Malloc-M=509mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: after  StaticCheck: StaticCheckProcess : M=1419.57mb, Malloc-M=500mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: before createWordSplitBaseNetCacheUtilM=1419.57mb, Malloc-M=500mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: after  createWordSplitBaseNetCacheUtilM=1419.57mb, Malloc-M=500mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: before populate SSF data: M=1419.57mb, Malloc-M=500mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: after  populate SSF data: M=1419.57mb, Malloc-M=500mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: before DumpGateCountStats : M=1419.57mb, Malloc-M=500mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: after  DumpGateCountStats : M=1419.57mb, Malloc-M=500mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: before DataModelStats : M=1419.57mb, Malloc-M=500mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: after  DataModelStats : M=1419.57mb, Malloc-M=500mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: before ModuleDesignPropagation : M=1419.57mb, Malloc-M=509mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: after  ModuleDesignPropagation : M=1419.57mb, Malloc-M=509mb, Available-M=92576mb, T=0s CPU=0s W=(2026-06-09 22:54:23)
STATS:: before XMR_Resolution : Total:1 : M=1428.06mb, Malloc-M=519mb, Available-M=92567mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: after  XMR_Resolution : Success:1 : M=1428.06mb, Malloc-M=519mb, Available-M=92567mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: before sim build substep: M=1428.06mb, Malloc-M=519mb, Available-M=92567mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: after  sim build substep: M=1428.18mb, Malloc-M=519mb, Available-M=92567mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: before sim run substep: M=1428.18mb, Malloc-M=519mb, Available-M=92567mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: after  sim run substep: M=1435.12mb, Malloc-M=526mb, Available-M=92563mb, T=0s CPU=0.01s W=(2026-06-09 22:54:24)
