M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: after  DataModelStats : M=1419.45mb, Malloc-M=500mb, Available-M=91810mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: before ModuleDesignPropagation : M=1419.45mb, Malloc-M=509mb, Available-M=91810mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: after  ModuleDesignPropagation : M=1419.45mb, Malloc-M=509mb, Available-M=91810mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: before Check: check_fv : M=1420.07mb, Malloc-M=511mb, Available-M=91809mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   before Check: BuildFormal : M=1420.07mb, Malloc-M=511mb, Available-M=91809mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   before Check: Init : M=1420.07mb, Malloc-M=511mb, Available-M=91809mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   after  Check: Init : M=1420.07mb, Malloc-M=511mb, Available-M=91809mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   before Check: ResetSetup : M=1420.07mb, Malloc-M=511mb, Available-M=91809mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   before Check: EnvInstrumentation : M=1420.07mb, Malloc-M=511mb, Available-M=91809mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   after  Check: EnvInstrumentation : M=1420.07mb, Malloc-M=511mb, Available-M=91809mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   before sim_save_reset : M=1420.07mb, Malloc-M=511mb, Available-M=91809mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   after  sim_save_reset : M=1444.27mb, Malloc-M=512mb, Available-M=91790mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   after  Check: ResetSetup : M=1444.27mb, Malloc-M=512mb, Available-M=91790mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   before Check: BotEotInstr : M=1444.27mb, Malloc-M=512mb, Available-M=91790mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   after  Check: BotEotInstr : M=1444.27mb, Malloc-M=512mb, Available-M=91790mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   before Check: VPSetup : M=1444.27mb, Malloc-M=512mb, Available-M=91790mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   after  Check: VPSetup : M=1444.27mb, Malloc-M=512mb, Available-M=91790mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   before Check: VPReset : M=1444.27mb, Malloc-M=512mb, Available-M=91790mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   after  Check: VPReset : M=1444.27mb, Malloc-M=512mb, Available-M=91790mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   before Check: InitApp : M=1444.27mb, Malloc-M=512mb, Available-M=91790mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   after  Check: InitApp : M=1444.27mb, Malloc-M=512mb, Available-M=91790mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   before Check: FormalModel : M=1444.27mb, Malloc-M=512mb, Available-M=91790mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   before DfgBuild: Setup : M=1444.27mb, Malloc-M=512mb, Available-M=91790mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   before DfgBuild: ValidateNLDMOperators : M=1444.27mb, Malloc-M=512mb, Available-M=91790mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   after  DfgBuild: ValidateNLDMOperators : M=1444.27mb, Malloc-M=512mb, Available-M=91790mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   after  DfgBuild: Setup : M=1444.27mb, Malloc-M=512mb, Available-M=91790mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   before DfgBuild: ReuseCheck : M=1444.27mb, Malloc-M=512mb, Available-M=91790mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   after  DfgBuild: ReuseCheck : M=1444.27mb, Malloc-M=512mb, Available-M=91790mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   before DfgBuild: Flatten : M=1444.27mb, Malloc-M=512mb, Available-M=91790mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   after  DfgBuild: Flatten : M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   before DfgBuild: ClockSetup : M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   after  DfgBuild: ClockSetup : M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   before DfgBuild: Modeling : M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
