M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   before StaticCheck: NldfgFlatDesign : M=1421.73mb, Malloc-M=513mb, Available-M=93025mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before StaticCheck: createFlatDesign : M=1421.73mb, Malloc-M=513mb, Available-M=93025mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  StaticCheck: createFlatDesign : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before StaticCheck: legalize : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  StaticCheck: legalize : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before StaticCheck: reduceBidirectionals : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  StaticCheck: reduceBidirectionals : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before StaticCheck: computeNetEquivalences : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  StaticCheck: computeNetEquivalences : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before StaticCheck: eliminateBidirectionals : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  StaticCheck: eliminateBidirectionals : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   after  StaticCheck: NldfgFlatDesign : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   before StaticCheck: CombLoopCheck  : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before CombLoop : Topo Order M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  CombLoop : Topo Order M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before CombLoop : Compute Segments M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  CombLoop : Compute Segments M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   after  StaticCheck: CombLoopCheck  : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   before StaticCheck: MultiDriverCheck  : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   after  StaticCheck: MultiDriverCheck  : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: after  StaticCheck: StaticCheckProcess : M=1430.76mb, Malloc-M=513mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: before Check: check_fv_setup : M=1430.76mb, Malloc-M=516mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   before Check: BuildFormal : M=1430.76mb, Malloc-M=516mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before Check: Init : M=1430.76mb, Malloc-M=516mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  Check: Init : M=1430.76mb, Malloc-M=516mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before Check: ResetSetup : M=1430.76mb, Malloc-M=516mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   before Check: EnvInstrumentation : M=1430.76mb, Malloc-M=516mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   before XMR_Resolution : Total:1 : M=1430.76mb, Malloc-M=516mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   after  XMR_Resolution : Success:1 : M=1430.76mb, Malloc-M=516mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   after  Check: EnvInstrumentation : M=1430.76mb, Malloc-M=516mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   before sim build substep: M=1432.55mb, Malloc-M=523mb, Available-M=93014mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   after  sim build substep: M=1432.55mb, Malloc-M=524mb, Available-M=93014mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   before sim run substep: M=1432.55mb, Malloc-M=524mb, Available-M=93014mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   after  sim run substep: M=1439.36mb, Malloc-M=531mb, Available-M=93011mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   before sim_save_reset : M=1439.36mb, Malloc-M=531mb, Available-M=93011mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   after  sim_save_reset : M=1449.12mb, Malloc-M=517mb, Available-M=93002mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  Check: ResetSetup : M=1449.12mb, Malloc-M=517mb, Available-M=93002mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before Check: BotEotInstr : M=1449.12mb, Malloc-M=517mb, Available-M=93002mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  Check: BotEotInstr : M=1449.12mb, Malloc-M=517mb, Available-M=93002mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before Check: VPSetup : M=1449.12mb, Malloc-M=517mb, Available-M=93002mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  Check: VPSetup : M=1449.12mb, Malloc-M=517mb, Available-M=93002mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before Check: VPReset : M=1449.12mb, Malloc-M=517mb, Available-M=93002mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  Check: VPReset : M=1449.12mb, Malloc-M=517mb, Available-M=93002mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before Check: InitApp : M=1449.12mb, Malloc-M=517mb, Available-M=93002mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  Check: InitApp : M=1449.12mb, Malloc-M=517mb, Available-M=93002mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before Check: FormalModel : M=1449.12mb, Malloc-M=517mb, Available-M=93002mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   before DfgBuild: Setup : M=1449.12mb, Malloc-M=517mb, Available-M=93002mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   before DfgBuild: ValidateNLDMOperators : M=1449.12mb, Malloc-M=517mb, Available-M=93002mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   after  DfgBuild: ValidateNLDMOperators : M=1449.12mb, Malloc-M=517mb, Available-M=93002mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   after  DfgBuild: Setup : M=1449.12mb, Malloc-M=517mb, Available-M=93002mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   before DfgBuild: ReuseCheck : M=1449.12mb, Malloc-M=517mb, Available-M=93002mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   after  DfgBuild: ReuseCheck : M=1449.12mb, Malloc-M=517mb, Available-M=93002mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   before DfgBuild: Flatten : M=1449.12mb, Malloc-M=517mb, Available-M=93002mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   after  DfgBuild: Flatten : M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   before DfgBuild: ClockSetup : M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   after  DfgBuild: ClockSetup : M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   before DfgBuild: Modeling : M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   after  DfgBuild: Modeling : M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   before DfgBuild: FlatRemodel : M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   after  DfgBuild: FlatRemodel : M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   before DfgBuild: NldfgBuild : M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   before NldfgBuild : Print statistics M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   after  NldfgBuild : Print statistics M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   before NldfgBuild : Reduce bidirectionals M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   after  NldfgBuild : Reduce bidirectionals M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   before NldfgBuild : Cutpoint Insertion M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   after  NldfgBuild : Cutpoint Insertion M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   before NldfgBuild : Compute net equivalences M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   after  NldfgBuild : Compute net equivalences M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   before NldfgBuild : Eliminate bidirectionals M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   after  NldfgBuild : Eliminate bidirectionals M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   |   before NldfgBuild : Remove false combo loops M=1449.12mb, Malloc-M=526mb, Available-M=92998mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
