property	status
rfu.rfu_assert_i.unnamed$$_0	proven
rfu.rfu_assert_i.unnamed$$_1	proven
rfu.rfu_assert_i.unnamed$$_2	proven
rfu.rfu_assert_i.unnamed$$_3	proven
