property	status
forward.forward_assert_i.unnamed$$_0	proven
forward.forward_assert_i.unnamed$$_1	proven
forward.forward_assert_i.unnamed$$_2	proven
forward.forward_assert_i.unnamed$$_3	proven
forward.forward_assert_i.unnamed$$_4	proven
forward.forward_assert_i.unnamed$$_5	proven
forward.forward_assert_i.unnamed$$_6	proven
forward.forward_assert_i.unnamed$$_7	proven
