M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: before RegisterApps : M=845.207mb, Malloc-M=13mb, Available-M=92326mb, T=0s CPU=0s W=(2026-06-12 10:17:04)
STATS:: |   before LicenseMgr Init : M=1263.17mb, Malloc-M=430mb, Available-M=91907mb, T=0s CPU=0s W=(2026-06-12 10:17:05)
STATS:: |   after  LicenseMgr Init : M=1268.43mb, Malloc-M=431mb, Available-M=91902mb, T=0s CPU=0.3s W=(2026-06-12 10:17:05)
STATS:: after  RegisterApps : M=1339.15mb, Malloc-M=432mb, Available-M=91901mb, T=1s CPU=0.8s W=(2026-06-12 10:17:05)
STATS:: before VCS Read Task : M=1389.72mb, Malloc-M=481mb, Available-M=91849mb, T=0s CPU=0s W=(2026-06-12 10:17:05)
STATS:: |   before VSI_Load_DB+ M=1389.85mb, Malloc-M=481mb, Available-M=91850mb, T=0s CPU=0s W=(2026-06-12 10:17:06)
STATS:: |   after  VSI_Load_DB+ M=1389.97mb, Malloc-M=481mb, Available-M=91849mb, T=0s CPU=0s W=(2026-06-12 10:17:06)
STATS:: after  VCS Read Task : M=1389.97mb, Malloc-M=481mb, Available-M=91844mb, T=1s CPU=0.35s W=(2026-06-12 10:17:06)
STATS:: before Load VCS Message: M=1390.1mb, Malloc-M=478mb, Available-M=91844mb, T=0s CPU=0s W=(2026-06-12 10:17:06)
STATS:: after  Load VCS Message: M=1390.1mb, Malloc-M=478mb, Available-M=91844mb, T=0s CPU=0s W=(2026-06-12 10:17:06)
STATS:: before NLDM Creation : M=1390.1mb, Malloc-M=478mb, Available-M=91844mb, T=0s CPU=0s W=(2026-06-12 10:17:06)
STATS:: |   before LoadCircuitModel : M=1390.1mb, Malloc-M=478mb, Available-M=91844mb, T=0s CPU=0s W=(2026-06-12 10:17:06)
STATS:: |   |   before VsiLib_Restore : M=1390.1mb, Malloc-M=478mb, Available-M=91844mb, T=0s CPU=0s W=(2026-06-12 10:17:06)
STATS:: |   |   after  VsiLib_Restore : M=1390.1mb, Malloc-M=478mb, Available-M=91844mb, T=0s CPU=0s W=(2026-06-12 10:17:06)
STATS:: |   after  LoadCircuitModel : M=1390.1mb, Malloc-M=478mb, Available-M=91844mb, T=0s CPU=0s W=(2026-06-12 10:17:06)
STATS:: |   before BuildNetlist : M=1390.1mb, Malloc-M=478mb, Available-M=91844mb, T=0s CPU=0s W=(2026-06-12 10:17:06)
