cycle,event,a,b,c,d,e
91,decode,51,0,0,0,0
92,operand,0,0,22,1,51
92,value,0,0,0,0,0
92,decode,51,0,0,0,0
93,operand,0,0,23,1,51
93,value,0,0,0,0,0
93,decode,51,0,0,0,0
94,operand,0,0,24,1,51
94,value,0,0,0,0,0
94,decode,51,0,0,0,0
95,operand,0,0,25,1,51
95,value,0,0,0,0,0
95,decode,51,0,0,0,0
96,operand,0,0,26,1,51
96,value,0,0,0,0,0
96,decode,51,0,0,0,0
97,operand,0,0,27,1,51
97,value,0,0,0,0,0
97,decode,51,0,0,0,0
98,operand,0,0,28,1,51
98,value,0,0,0,0,0
98,decode,51,0,0,0,0
99,operand,0,0,29,1,51
99,value,0,0,0,0,0
99,decode,51,0,0,0,0
100,operand,0,0,30,1,51
100,value,0,0,0,0,0
100,decode,19,0,0,0,0
101,operand,0,0,31,1,51
101,value,0,0,0,0,0
101,decode,19,0,0,0,0
102,operand,5,0,0,1,19
102,value,0,0,0,0,0
102,imm,1,1,1,0,0
102,decode,19,0,0,127,0
103,operand,6,0,1,1,19
103,value,0,0,0,0,0
103,imm,1,2,0,1,0
103,decode,55,0,0,64,0
104,operand,7,0,31,1,19
104,value,0,0,0,0,0
104,imm,1,3,0,4294967295,0
104,decode,19,0,0,127,0
105,operand,8,0,0,7,55
105,value,0,0,0,0,0
105,imm,4,3,2,2147483648,0
105,decode,55,0,0,64,0
106,operand,8,8,31,1,19
106,value,2147483648,0,0,0,0
106,imm,1,3,0,4294967295,0
106,decode,19,0,0,127,0
107,operand,9,0,0,7,55
107,value,0,0,0,0,0
107,imm,4,3,2,2147483648,0
107,decode,51,0,0,0,0
108,operand,10,0,31,1,19
108,value,0,0,0,0,0
108,imm,1,3,0,4294967295,0
108,decode,51,0,0,0,0
109,operand,0,5,0,1,51
109,value,0,0,0,0,0
109,decode,51,0,0,0,0
110,operand,0,6,0,1,51
110,value,1,0,0,0,0
110,decode,51,0,0,0,0
111,operand,0,7,0,1,51
111,value,4294967295,0,0,0,0
