cycle,event,a,b,c,d,e
93,hazard,muldiv_busy,0,0,0,0
94,decode,51,0,7,1,7
94,hazard,muldiv_busy,0,0,0,0
95,decode,51,0,7,1,7
95,hazard,muldiv_busy,0,0,0,0
96,decode,51,0,7,1,7
96,hazard,muldiv_busy,0,0,0,0
97,decode,51,0,7,1,7
97,hazard,muldiv_busy,0,0,0,0
98,decode,51,0,7,1,7
98,hazard,muldiv_busy,0,0,0,0
99,decode,51,0,7,1,7
99,hazard,muldiv_busy,0,0,0,0
100,decode,51,0,7,1,7
100,hazard,muldiv_busy,0,0,0,0
101,decode,51,0,7,1,7
101,hazard,muldiv_busy,0,0,0,0
102,decode,51,0,7,1,7
102,hazard,muldiv_busy,0,0,0,0
103,decode,51,0,7,1,7
103,hazard,muldiv_busy,0,0,0,0
104,decode,51,0,7,1,7
104,hazard,muldiv_busy,0,0,0,0
105,decode,51,0,7,1,7
105,hazard,muldiv_busy,0,0,0,0
106,decode,51,0,7,1,7
106,hazard,muldiv_busy,0,0,0,0
107,decode,51,0,7,1,7
107,hazard,muldiv_busy,0,0,0,0
108,decode,51,0,7,1,7
108,hazard,muldiv_busy,0,0,0,0
109,decode,51,0,7,1,7
109,hazard,muldiv_busy,0,0,0,0
110,decode,51,0,7,1,7
110,hazard,muldiv_busy,0,0,0,0
111,decode,51,0,7,1,7
111,hazard,muldiv_busy,0,0,0,0
112,decode,51,0,7,1,7
112,hazard,muldiv_busy,0,0,0,0
113,decode,51,0,7,1,7
113,hazard,muldiv_busy,0,0,0,0
114,decode,51,0,7,1,7
114,hazard,muldiv_busy,0,0,0,0
115,decode,51,0,7,1,7
115,hazard,muldiv_busy,0,0,0,0
116,decode,51,0,7,1,7
116,hazard,muldiv_busy,0,0,0,0
117,decode,51,0,7,1,7
117,hazard,muldiv_busy,0,0,0,0
118,decode,51,0,7,1,7
118,hazard,muldiv_busy,0,0,0,0
119,decode,51,0,7,1,7
119,hazard,muldiv_busy,0,0,0,0
120,decode,51,0,7,1,7
120,hazard,muldiv_busy,0,0,0,0
121,decode,51,0,7,1,7
122,decode,115,0,0,0,0
123,operand,15,10,11,1,51
123,value,123,7,0,0,0
123,decode,x,x,x,x,x
124,decode,x,x,x,x,x
124,redirect,1,0,0,0,0
124,trap,2,0,0,0,0
