################################################################################
#
# Purpose:
# This file contains the information about the virtual clock domains 
# inferred for the black box pins according to the "abstract_module" 
# constraints provided in sgdc file 
#
################################################################################

Blackbox instance, Pin, Domain name, Domain id, SGDC file:line
cpu_m1_top.u_core.u_trigger,debug_csr_raddr[10],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_raddr[11],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_we,"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_waddr[0],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_waddr[1],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_waddr[2],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_waddr[3],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_waddr[4],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_waddr[5],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_waddr[6],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_waddr[7],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_waddr[8],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_waddr[9],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_waddr[10],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_waddr[11],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[0],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[1],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[2],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[3],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[4],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[5],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[6],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[7],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[8],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[9],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,debug_csr_wdata[10],"cpu_m1_top.clk",0,-
